"","number","game","release_date","price","owners","developer","publisher","average_playtime","median_playtime","metascore"
"110","7","The Witcher 2: Assassins of Kings Enhanced Edition","Apr 16 2012","19.99","5000000 .. 10000000","CD PROJEKT RED","CD PROJEKT RED 1C-SoftClub","276","275","88"
"111","6","Torchlight II","Sep 20 2012","19.99","2000000 .. 5000000","Runic Games","Runic Games","32","10","88"
"112","8","Far Cry 3","Dec 4 2012","19.99","2000000 .. 5000000","Ubisoft Montreal Massive Entertainment and Ubisoft Shanghai","Ubisoft","157","52","88"
"113","9","Super Hexagon","Nov 27 2012","2.99","1000000 .. 2000000","Terry Cavanagh","Terry Cavanagh","0","0","88"
"114","5","Thirty Flights of Loving","Aug 20 2012","4.99","100000 .. 200000","Blendo Games","Blendo Games","0","0","88"
"115","8","The Stanley Parable","Oct 17 2013","14.99","2000000 .. 5000000","Galactic Cafe","Galactic Cafe","0","0","88"
"116","9","Guacamelee! Gold Edition","Aug 8 2013","14.99","500000 .. 1000000","DrinkBox Studios","DrinkBox Studios","0","0","88"
"117","8","Kerbal Space Program","Apr 27 2015","39.99","2000000 .. 5000000","Squad","Private Division","0","0","88"
"118","9","Ori and the Blind Forest","Mar 10 2015",NA,"1000000 .. 2000000","Moon Studios GmbH","Xbox Game Studios","0","0","88"
"119","10","Nuclear Throne","Dec 5 2015","11.99","500000 .. 1000000","Vlambeer","Vlambeer","4","1","88"
"120","10","Sid Meier’s Civilization VI","Oct 20 2016","59.99","2000000 .. 5000000","Firaxis Games Aspyr (Mac) Aspyr (Linux)","2K Aspyr (Mac) Aspyr (Linux)","783","646","88"
"121","12","XCOM 2","Feb 4 2016","59.99","1000000 .. 2000000","Firaxis Games Feral Interactive (Mac) Feral Interactive (Linux)","2K Feral Interactive (Mac) Feral Interactive (Linux)","561","557","88"
"122","13","Ori and the Blind Forest: Definitive Edition","Apr 27 2016","19.99","1000000 .. 2000000","Moon Studios GmbH","Xbox Game Studios","92","57","88"
"123","11","Owlboy","Nov 1 2016","24.99","200000 .. 500000","D-Pad Studio","D-Pad Studio","0","0","88"
"124","10","Cuphead","Sep 29 2017","19.99","1000000 .. 2000000","Studio MDHR Entertainment Inc.","Studio MDHR Entertainment Inc.","32","14","88"
"125","11","Night in the Woods","Feb 21 2017","19.99","200000 .. 500000","Infinite Fall","Finji","0","0","88"
"126","12","Shogo: Mobile Armor Division","Apr 14 2017","6.99","0 .. 20000","Monolith Productions","Interplay Entertainment Corp.","0","0","88"
"127","6","MONSTER HUNTER: WORLD","Aug 9 2018","59.99","5000000 .. 10000000","CAPCOM Co. Ltd.","CAPCOM Co. Ltd.","914","286","88"
"128","7","Celeste","Jan 25 2018","19.99","200000 .. 500000","Matt Makes Games Inc.","Matt Makes Games Inc.","40","26","88"
"129","8","Pillars of Eternity II: Deadfire","May 8 2018","49.99","200000 .. 500000","Obsidian Entertainment","Versus Evil Obsidian Entertainment","0","0","88"
"130","5","DUSK","Dec 10 2018","20","100000 .. 200000","David Szymanski","New Blood Interactive","0","0","88"
"131","4","DOOM 3","Aug 3 2004","4.99","500000 .. 1000000","id Software","id Software","0","0","87"
"132","5","Brothers in Arms: Road to Hill 30","Mar 15 2005","9.99","100000 .. 200000","Gearbox Software","Ubisoft","0","0","87"
"133","5","Half-Life 2: Episode One","Jun 1 2006","7.99","5000000 .. 10000000","Valve","Valve","12","4","87"
"134","3","Psychonauts","Oct 11 2006","9.99","2000000 .. 5000000","Double Fine Productions","Double Fine Productions","0","0","87"
"135","4","Call of Duty: United Offensive","Oct 13 2006","19.99","200000 .. 500000","Gray Matter Studios","Activision","0","0","87"
"136","12","Company of Heroes: Opposing Fronts","Sep 24 2007","19.99","2000000 .. 5000000","Relic Entertainment","SEGA","0","0","87"
"137","11","Warhammer 40000: Dawn of War - Dark Crusade","Aug 7 2007","3.24","1000000 .. 2000000","Relic Entertainment","SEGA","113","37","87"
"138","86","Sam & Max: Season One","Nov 2 2007","19.99","0 .. 20000","Telltale Games","Telltale Games","0","0","87"
"139","12","Brothers in Arms: Road to Hill 30","May 13 2008","9.99","100000 .. 200000","Gearbox Software","Ubisoft","0","0","87"
"140","15","Burnout Paradise: The Ultimate Box","Mar 12 2009","19.99","2000000 .. 5000000","Criterion Games","Electronic Arts","0","0","87"
"141","14","Plants vs. Zombies GOTY Edition","May 5 2009","4.99","1000000 .. 2000000","PopCap Games Inc.","PopCap Games Inc.","56","61","87"
"142","10","Super Meat Boy","Nov 30 2010","14.99","2000000 .. 5000000","Team Meat",NA,"0","0","87"
"143","12","Battlefield: Bad Company 2","Mar 2 2010","19.99","2000000 .. 5000000","DICE","Electronic Arts","38","12","87"
"144","9","Serious Sam Classic: The First Encounter","Mar 22 2010",NA,"500000 .. 1000000","Croteam","Devolver Digital","0","0","87"
"145","11","Monkey Island 2 Special Edition: LeChuck’s Revenge","Jul 7 2010","9.99","200000 .. 500000","LucasArts","LucasArts Lucasfilm Disney Interactive","16","5","87"
"146","9","Dead Space 2","Jan 25 2011","19.99","1000000 .. 2000000","Visceral Games","Electronic Arts","0","0","87"
"147","10","Sins of a Solar Empire: Trinity","Nov 16 2011","19.99","200000 .. 500000","Ironclad Games Stardock Entertainment","Stardock Entertainment","0","0","87"
"148","10","Max Payne 3","May 31 2012","19.99","1000000 .. 2000000","Rockstar Studios","Rockstar Games","75","49","87"
"149","10","Europa Universalis IV","Aug 13 2013","39.99","1000000 .. 2000000","Paradox Development Studio","Paradox Interactive","1331","817","87"
"150","11","The Swapper","May 30 2013","14.99","500000 .. 1000000","Olli Harjola Otto Hantula Tom Jubert Carlo Castellano","Facepalm Games","0","0","87"
"151","7","Divinity: Original Sin (Classic)","Jun 30 2014",NA,"1000000 .. 2000000","Larian Studios","Larian Studios","0","0","87"
"152","5","Shadowrun: Dragonfall - Director's Cut","Sep 18 2014","14.99","500000 .. 1000000","Harebrained Schemes","Paradox Interactive","0","0","87"
"153","6","Wasteland 2: Director's Cut","Sep 18 2014","29.99","500000 .. 1000000","inXile Entertainment","inXile Entertainment","0","0","87"
"154","8","TowerFall Ascension","Mar 11 2014","14.99","200000 .. 500000","Matt Thorson","Matt Makes Games Inc.","0","0","87"
"155","9","Year Walk","Mar 6 2014","5.99","100000 .. 200000","Simogo","Simogo","0","0","87"
"156","11","Dying Light","Jan 26 2015","39.99","2000000 .. 5000000","Techland","Techland Publishing","137","185","87"
"157","12","Crypt of the NecroDancer","Apr 23 2015","14.99","1000000 .. 2000000","Brace Yourself Games","Brace Yourself Games Klei Entertainment","116","122","87"
"158","13","Oddworld: New 'n' Tasty","Feb 25 2015","19.99","200000 .. 500000","Just Add Water (Developments) Ltd.","Oddworld Inhabitants Inc.","0","0","87"
"159","15","INSIDE","Jul 7 2016","19.99","1000000 .. 2000000","Playdead","Playdead","29","9","87"
"160","16","The Witness","Jan 26 2016","39.99","500000 .. 1000000","Thekla Inc.","Thekla Inc.","0","0","87"
"161","17","HEX: Shards of Fate","Apr 19 2016",NA,"200000 .. 500000","Hex Entertainment","Hex Entertainment","0","0","87"
"162","14","STEINS;GATE","Sep 8 2016","29.99","100000 .. 200000","MAGES. Inc.","Spike Chunsoft Co. Ltd.","0","0","87"
"163","13","Total War: WARHAMMER II","Sep 28 2017","59.99","2000000 .. 5000000","CREATIVE ASSEMBLY Feral Interactive (Mac) Feral Interactive (Linux)","SEGA Feral Interactive (Mac) Feral Interactive (Linux)","396","64","87"
"164","14","NBA 2K18","Sep 14 2017","59.99","1000000 .. 2000000","Visual Concepts","2K","77","25","87"
"165","16","Orcs Must Die! Unchained","Apr 19 2017",NA,"1000000 .. 2000000","Robot Entertainment","Robot Entertainment","0","0","87"
"166","18","Hollow Knight","Feb 24 2017","14.99","1000000 .. 2000000","Team Cherry","Team Cherry","685","1177","87"
"167","17","West of Loathing","Aug 10 2017","10.99","200000 .. 500000","Asymmetric","Asymmetric","0","0","87"
"168","15","Raw Data","Oct 5 2017","39.99","50000 .. 100000","Survios","Survios","0","0","87"
"169","10","Subnautica","Jan 23 2018","24.99","2000000 .. 5000000","Unknown Worlds Entertainment","Unknown Worlds Entertainment","17","11","87"
"170","11","Iconoclasts","Jan 23 2018","19.99","50000 .. 100000","Joakim Sandberg","Bifrost Entertainment DANGEN Entertainment Gamera Game INTRAGAMES CO. LTD.","0","0","87"
"171","9","Unavowed","Aug 8 2018","14.99","20000 .. 50000","Wadjet Eye Games","Wadjet Eye Games","0","0","87"
"172","12","Hellblade: Senua's Sacrifice VR Edition","Jul 31 2018","29.99","0 .. 20000","Ninja Theory","Ninja Theory","14","4","87"
"173","13","Inside","Oct 25 2018","0.99","0 .. 20000","Garnudo Games","Garnudo Games","0","0","87"
"174","8118","Story of Eve - A Hero's Study","Oct 16 2018","2.99","0 .. 20000","SmallSqurriel","SmallSqurriel","0","0","87"
